T,X,Y
0,4.115980815569687,-6
0,8.735884153819397,4
0,11.438461890714994,-4
1,1.3816942944017363,9
0,9.932387579767752,5
0,7.403763248734021,-3
0,11.020074039563605,3
1,16.073284509296514,3
0,7.239208521420523,-1
1,4.3508361073402755,1
0,16.125858356543734,1
1,9.946929891490289,-7
1,1.3617645144358512,8
1,12.72044729283043,-1
0,11.21189476575684,-2
0,3.52201567311665,4
1,9.622702703364734,-2
1,12.15210265047555,10
1,3.8174863220561432,7
0,10.509162662441035,1
1,8.635184447478164,9
1,11.228726445708038,10
0,14.824805986886265,0
1,9.092059082481953,-6
0,8.160145233844478,-6
1,14.08568149152591,0
1,11.657190171762574,6
0,19.019256217188456,4
1,7.73731923021814,2
1,3.9934529216838817,12
1,16.99807920193928,1
1,9.735586959909831,6
0,8.16576432540112,-3
0,10.664198666253874,-1
1,17.932353457871656,3
1,3.25524619937618,7
1,-2.8260283542694857,-8
0,4.445732160422265,8
0,4.233450536188326,-3
1,13.510054774339942,7
0,7.213600638706188,0
0,10.141063930990576,-5
0,8.222341751430726,-2
0,3.036073737223532,11
0,14.183054603646177,0
1,10.739973976295278,0
1,16.13493390514012,-5
0,8.678933232607008,-4
0,3.1438711169308977,7
0,11.656787256508855,9
0,15.811577164832546,11
1,10.146967650672966,5
1,3.9645350983275636,0
0,8.093290492226851,-4
1,15.402586782350287,9
1,16.02826615662403,0
0,5.014138777985165,-5
0,6.9238316098944495,0
1,-0.9833987161180175,1
0,9.329096944637739,6
1,9.90556444955264,1
0,26.273685611242026,8
0,9.618525227989062,5
0,17.46063211749385,2
1,10.734984235999454,-9
1,7.083352554936974,-8
1,13.52482454172922,2
0,17.22924225906496,4
1,4.298830508133304,10
0,12.20033282103461,-7
0,14.975965806774003,4
1,4.429535316341676,5
1,11.050129872630686,7
0,10.262529491676665,2
1,12.701693310680664,1
0,19.926456004403754,0
1,7.0577978520430635,4
0,6.865653135401903,6
0,13.70407059981829,-3
1,11.419797793171105,0
1,10.386312588379464,-2
0,0.3891517124012811,1
1,10.806279766736827,-11
0,10.292505717516791,8
1,9.244496327351111,2
0,7.331129619353912,-4
1,7.947358322554504,0
1,7.816127815279682,0
1,16.321103619754524,-1
0,12.425089688932747,0
1,13.725674447556417,14
1,11.691459911450918,16
1,13.366667020351471,-8
1,7.094083508691861,2
0,17.067558881938428,2
0,13.07023626545012,-5
1,15.70027480249906,0
1,10.556865895772964,0
0,12.381640308214077,0
1,13.62328429671754,-6
0,10.594001978358541,-5
1,6.203983030366881,5
0,11.755672679958709,3
0,17.345299434842786,4
1,13.650302306897574,5
1,6.184899683236731,-3
1,12.586011304604419,4
0,15.018638618228927,-1
1,12.547512047417804,6
1,7.782053212971843,0
0,4.702505374020831,3
0,15.977474318387532,-3
0,12.30437019584032,7
1,24.78323625475349,1
1,13.431602425813622,3
1,14.270097453500524,-2
0,7.783830570312541,7
1,13.553754095136489,6
0,19.076454165566943,8
1,11.829690986386263,-3
1,9.743856148853675,4
0,2.7834469515452414,0
1,10.64977387539548,0
0,-1.0752691018225047,2
1,13.297848731727644,0
0,14.816386234506663,6
0,5.205880644986864,-5
1,7.948515436361102,-3
0,9.08888820824236,-3
1,1.2084969448989504,4
0,4.005376325647418,-4
1,7.541697949838654,-7
1,4.436729499211484,2
1,13.19150887038029,7
1,12.944019077067402,-2
0,9.754197706787759,1
0,13.003185892409709,-2
1,2.549780605801315,2
0,10.122410599330488,2
1,10.732980523459338,-8
1,10.559894849167867,9
1,8.276699951021113,0
1,9.978931707623378,5
1,14.325950595567372,5
0,8.457868509128346,-5
0,2.093391029657507,8
1,8.679811580833535,-1
1,8.112304272712498,-3
0,4.058314846584771,2
0,12.061500272710402,11
1,14.73154345051069,9
0,14.339360392446947,-12
0,12.060537563843793,-1
0,11.250710770131915,0
1,3.248068342746617,-1
1,5.535699602960989,-3
0,14.019757106706724,-2
1,1.9493307466493306,-4
0,7.028283819556725,7
1,16.419642176107224,2
0,4.411462154865223,-5
1,10.983279881195914,2
0,15.256774146452106,7
0,4.878069601157896,-1
1,0.351994409014468,7
1,4.369998744218153,-5
1,11.539340961876002,0
0,8.111146438197173,13
0,16.400860049542583,0
0,16.52163898921583,-6
1,5.058972479650035,9
0,12.739649094271027,0
1,10.417993912675794,6
0,12.3157879056828,0
0,7.702408398774525,-7
1,6.362976211274262,10
1,8.625501954134275,1
0,14.651975544013386,-7
0,10.407799465134671,7
0,12.103118684819364,1
1,12.640454956250784,13
0,11.568054532025448,7
0,8.733131663015588,2
1,3.7114406571691134,-6
1,10.61431964137868,-6
1,13.197586638954808,0
0,11.375821053404781,-7
1,7.950292004270393,2
0,16.290928639020155,6
1,7.263757080062618,4
0,14.255934129578435,8
1,16.26871019739644,6
1,14.371061544548583,4
0,14.59228716876203,-1
0,12.104130541433495,-3
0,8.43728707280031,0
1,3.661099607916862,1
1,12.194670810523107,8
0,12.856768696114726,0
1,3.799264910851752,-3
1,20.47428701855761,-3
1,13.975616074991725,-4
1,13.454463928913231,-3
1,12.451323929203665,11
1,11.322821797510416,7
0,14.561307778478014,1
0,13.301187346785339,3
1,6.309393190554827,0
0,10.687863023039954,-4
0,13.906153335216638,-6
0,9.645739439689999,1
1,17.373992742240688,5
1,14.3182751261314,7
0,13.756535849208447,-2
0,13.557203393129816,3
0,15.953942561437874,-5
1,-1.2947309484584846,3
0,3.1844778802378046,-1
1,8.75497003493512,3
1,5.432416596705822,-6
0,7.404510488054827,0
1,5.616666480191058,0
0,-0.23598249217575074,-1
1,12.687124377279446,6
1,15.064049338563887,4
0,10.271141576834145,4
0,4.80564135958495,8
1,6.35876911862845,-3
1,16.784326741080164,6
1,8.54750572486957,-7
0,16.366721636320708,0
1,13.37483009162988,-4
0,16.398414493805294,-3
1,13.11783327714728,3
1,11.281360838459134,6
0,9.949819127433145,3
1,7.127508976355553,6
0,8.913502559247712,5
0,11.41557850830588,0
1,7.282376368950773,4
1,14.760597550253783,0
1,10.351497830920241,-3
0,13.311855248254906,5
1,14.124434626506654,0
0,2.7841577879102415,-7
1,13.98053442886313,-6
0,10.749813276003325,2
1,16.28525120996874,1
1,10.64889836151447,0
1,10.334881022536697,3
1,5.046004891158914,0
1,1.277194050820306,0
0,11.032748493772674,-5
1,10.786714294801866,3
1,8.860770692845609,8
0,17.99006713203314,-4
1,10.191663180263976,-2
0,10.788370219710117,3
1,19.92816913863769,4
0,9.643431772874257,4
1,6.92115068263383,-1
0,25.3546593211008,1
0,16.00551072649005,-2
0,20.660913082089753,1
1,8.88924566974565,-4
1,13.415052816556866,2
0,17.45259972537285,-6
0,7.628468965392846,10
0,9.141106182372043,-7
0,7.997661562958973,0
1,15.546450725590823,7
1,8.988095277480003,0
0,7.792022350366338,3
0,6.266582591424991,-4
0,9.277257907686819,5
0,16.59521333511058,6
0,2.7331810699387757,6
0,13.844348184139088,-1
1,14.35230331487741,8
1,10.307892490113424,3
0,8.104010821331496,1
1,8.459072779126902,-1
0,18.1186087914666,4
1,16.607728592185165,4
1,13.96819447276381,0
1,13.101458964434102,-2
1,7.360851298577545,1
0,2.6364207837172975,-6
1,8.246701356272728,6
0,11.580253351184954,5
0,13.757988406209787,6
0,2.094926838470357,-1
1,3.829151095722386,16
1,4.7009669871910535,4
0,14.493474841999275,8
1,10.083819054492697,5
0,9.59724528935213,6
0,4.2939646847373965,-2
0,12.504497984425159,7
1,7.959406912752942,0
1,6.0355690046974635,-5
1,5.562517650969916,1
1,6.7880003776622315,9
0,16.120411219346217,5
0,7.7363121864078845,2
1,4.180553143462912,-3
0,9.483446789712199,6
1,13.065877996942353,3
1,3.281466437680394,-2
0,11.90915159737928,4
0,-3.6867181381295726,-1
1,13.307667434069913,-3
0,12.384915751704199,1
1,1.7028411567516777,3
1,8.615735944795873,-3
0,11.9426349325391,9
0,15.659246239605334,-2
1,12.940793436296563,4
0,8.134111312391674,-2
0,13.914348162263668,-2
1,9.845507569140633,0
0,9.25207744773514,-3
0,18.64212281967357,0
0,14.796529490124545,2
0,12.978088116796023,-5
0,2.5963956903904233,3
1,4.755772409883029,5
1,2.2917938617096905,0
1,14.776110921539757,4
0,11.348721619082465,3
1,12.75463746529168,6
0,13.874431861207952,1
1,6.824266729262457,0
1,1.2280247992537507,-1
1,6.4681835516057005,0
0,12.46569452816447,0
1,11.835564075514071,5
0,10.294287400150548,-2
1,15.447587007588123,0
1,6.4101199499882435,0
1,18.885525554966335,9
1,5.311711809063145,15
1,7.7269904551179245,-2
1,0.6541502013237999,-4
0,11.077819041006537,-6
0,18.634084697124,0
0,15.989337464802054,2
0,14.064406355354391,2
0,19.405651145324143,0
1,13.533736558229167,2
0,10.75474009307752,3
0,6.4786721654635535,14
0,4.260866395800843,1
0,14.724105719359214,4
0,4.685051629233989,-1
0,7.5170669565805905,1
1,8.677218998116267,3
1,8.72272941441351,14
0,13.850080173010287,-3
1,7.327236534574874,0
1,7.092727060055488,-2
1,13.350665305862819,3
0,7.749362252220343,1
0,9.228072996778987,-4
0,14.26642148935861,1
0,10.01802742173236,1
0,7.0703180625202275,0
1,16.303661154335856,0
1,7.605355960665675,5
0,13.275110095258475,1
0,10.910838261107937,1
0,13.727553262573593,1
1,15.797340860934028,0
1,14.785814653718685,1
1,8.65790113950329,1
0,12.315271487930474,-2
1,8.634119974635134,5
1,19.34742095691398,-4
0,12.06392407918986,4
0,16.835073545488967,-2
1,-0.5587977949179521,-2
0,14.144471283589448,0
1,11.072162265627192,0
0,13.209831294651075,4
1,4.990769178971589,-2
0,6.694665144943816,-4
1,8.607231168316966,2
1,10.324889936417145,10
1,9.249381669370852,-3
0,14.221742716317431,6
1,13.645693083700998,12
0,19.05564329598186,-1
1,5.191485024912229,8
0,5.702725538145044,0
1,15.043254277683925,0
0,10.136556793690382,0
1,6.533194975956203,0
1,10.265147834612746,-2
1,12.231495215344752,1
0,2.630270220898507,-2
0,15.068926250823099,10
0,4.872803881454442,7
1,15.094109606334058,1
0,13.814994987147243,0
0,4.1308330642431885,5
0,8.405493751193335,14
1,9.426084045442344,10
1,7.514665288931279,5
0,5.271796801084074,9
1,5.9095263452741,-5
0,13.320527708118561,-6
0,8.503352932017698,3
0,2.3451743930761104,-2
1,7.539368711433422,2
0,7.541910050074538,0
0,11.917917909963101,2
0,15.397678159514559,2
0,-0.10251004236659789,0
1,14.764974751798668,0
0,9.185277421497569,5
1,12.303307612163778,1
0,14.624385586125987,0
1,8.952097425616724,0
1,9.391361799718029,-1
1,16.31199138528567,-3
1,15.215840292514628,9
1,13.771192187957457,-4
1,15.541752014266219,2
1,9.774121605579012,1
1,7.643527674109931,1
0,11.075821558733113,3
0,10.965750621775339,14
0,19.291067157089202,9
1,3.7420248162310408,0
0,-1.0417751856997874,-6
1,9.4371732256717,3
1,11.318612002029434,1
0,4.9861279725407215,-3
1,19.30168735018179,5
1,13.339146508614714,0
1,4.7258903137096,0
1,9.963880689843833,10
1,9.14756081406423,6
0,15.365854755244799,0
0,11.008414301781432,8
1,21.724184693201828,3
1,12.48537310786156,0
0,6.698089438800408,-1
0,12.820818655412735,0
1,14.06639198260206,0
0,19.72329597765941,-3
1,12.422422777405693,0
0,4.040547323997352,-5
0,2.4113721435191486,-6
1,20.6276245356462,3
0,8.87944291656737,3
0,8.032767624817183,0
0,12.574863170733218,-4
0,14.588629475264524,0
1,16.852599945176017,-5
1,18.553346514289668,-4
0,13.76885870266393,-2
1,5.411703323668526,3
1,16.16986995236546,11
1,3.386382820979369,4
0,13.516136014553263,-1
0,19.014167879241537,-4
1,17.25954253383662,4
1,2.3033086853658737,5
0,14.291545901650451,-1
1,10.219017673130326,6
0,-0.5923013469249412,5
1,9.92384013052153,0
0,10.05418078725815,0
0,6.1554744260436305,-3
1,8.320302873711313,-5
1,17.11127145865741,0
0,14.140832303162993,0
